"","lemma","freq1000","cum_freq","fit","lwr","upr","fit_diff"
"96","miller",1.38888888888889,8.95985807695485,2.58508963797298,1.36760440004721,3.80257487589874,71.1480961442688
"97","impacted",6.43086816720257,16.9262880475255,4.89165073295092,3.9075079710551,5.87579349484675,71.1002747961267
"98","endeavor",1.05097910993629,5.14017386672172,1.4973391016068,0.764737547020734,2.22994065619287,70.8698744355554
"99","halodule",3.21543408360129,25.6621231969571,7.48222970445193,-0.555900672190541,15.5203600810944,70.8432944264754
"100","halophila",3.21543408360129,25.6621231969571,7.48222970445193,-0.555900672190541,15.5203600810944,70.8432944264754
"101","informed",1.25470514429109,9.11069783903418,2.67625345589602,1.44108092313391,3.91142598865812,70.6251540422097
"102","enhalus",1.60771704180064,13.9533960541463,4.11522633744856,-0.305745369704797,8.53619804460191,70.5073494547179
"103","detector",1.70940170940171,16.2669449455567,4.80229395358071,3.90917126785571,5.69541663930571,70.4782061434809
"104","photograph",17.5824175824176,47.1838910943776,14.0272227855575,10.8863565485836,17.1680890225314,70.2711614913231
"105","ammonia",1.61812297734628,10.3883808919884,3.09780382565013,1.80279966843608,4.39280798286418,70.1801093177168
"106","incorporating",1.60771704180064,5.04360393663094,1.51531788733941,1.16192359243823,1.86871218224059,69.9556526170923
"107","iterative",8.33333333333333,13.8955149748323,4.21111505415723,3.45567465908194,4.96655544923252,69.6944297366132
"108","breathing",1.12359550561798,5.31769748193564,1.61803544097307,0.458726772936358,2.77734410900977,69.572630890163
"109","overcrowd",1.12359550561798,4.20621832032057,1.28440666138399,0.511426185654275,2.05738713711371,69.4640990179011
"110","genus",2.38663484486873,143.047060155568,43.9282077801583,18.1569452838275,69.6994702764891,69.2910796402352
"111","latifolia",1.19331742243437,9.71094531653317,2.98392112236939,2.33504694096805,3.63279530377074,69.2725988551374
"112","neural",11.0397642008233,33.4046300995183,10.2929999560639,8.9553064169537,11.6306934951741,69.1869063498107
"113","thalassia",1.60771704180064,21.8097372438208,6.73400673400673,-0.500310604971485,13.968324072985,69.1238520724746
"114","iranian",15.0564617314931,21.3313413126207,6.63310917275367,5.00635184559075,8.2598664999166,68.904397170612
"115","invert",2.42718446601942,9.60448461892715,2.98892738265064,2.34435658554774,3.63349817975353,68.8798774609886
"116","warrant",1.16279069767442,8.35774980780268,2.6038324363996,1.96238158054576,3.24528329225344,68.8452933351905
"117","computational",1.52125067372365,27.8074377949916,8.6932954217291,7.59128146036024,9.79530938309796,68.7375173296446
"118","symptom",1.71812582666435,12.0339423183322,3.76688956251392,2.41508879185079,5.11869033317704,68.6977927692445
"119","prevalence",4.95175247405086,68.6325938248188,21.6162041500849,18.6733197458566,24.5590885543131,68.5044627553213
"120","physics",3.95778364116095,11.3247823862221,3.57090312295271,2.79532609048489,4.34648015542053,68.4682407028225
"121","malaria",1.12359550561798,18.8301656631931,5.95163270836002,4.91665234046446,6.98661307625558,68.3930942785408
"122","stations",3.46620450606586,12.0400285251483,3.81568576531263,2.75232626751632,4.87904526310894,68.3083328470302
"123","gradation",1.73310225303293,14.6480557909502,4.64636128409784,3.77040457303015,5.52231799516554,68.280013741015
"124","certify",2.01207243460765,20.6289297965754,6.54884515530049,5.39922186495162,7.69846844564936,68.2540722185808
"125","evolutionary",1.73310225303293,29.3049905074647,9.30397961772536,7.03025354288341,11.5777056925673,68.2512109486764
"126","montenegro",4.0453074433657,22.2805146135609,7.07902554421488,5.64641664613494,8.51163444229482,68.2277287262195
"127","headquarters",11.265164644714,18.429643377191,5.86317539070274,5.11960042471362,6.60675035669187,68.1861701243815
"128","gravitational",1.73310225303293,16.0329827906993,5.11704880504926,4.41411764094479,5.81997996915373,68.0842369018342
"129","baluchistan",1.12359550561798,5.79774080476328,1.85185185185185,1.32691196258374,2.37679174111996,68.0590782821747
"130","braid",1.38888888888889,14.3957688355963,4.60401165450649,3.96483509441329,5.24318821459968,68.0182996331381
"131","alveolus",1.12359550561798,3.94175477130887,1.26108374384236,0.566895539909647,1.95527194777508,68.0070471907207
"132","peninsular",2.32558139534884,6.48028479609363,2.08187679639556,0.590229731857594,3.57352386093352,67.8736836126318
"133","multan",3.37078651685393,5.21580496703843,1.68687401159726,0.758301229583937,2.61544679361058,67.6584147172383
"134","lobanov",5.66343042071197,8.15719988385192,2.63955769573747,2.06556771113517,3.21354768033977,67.6413753086673
"135","grassland",3.23624595469256,93.3175540000118,30.2426364391682,26.1442905677762,34.3409823105602,67.5916961570121
"136","exploring",4.49438202247191,7.24710188090027,2.35875489313804,1.81028083044348,2.9072289558326,67.4524391694488
"137","neuron",6.99679647444716,8.47608641527556,2.76134122287968,2.06025583297352,3.46242661278585,67.421978875732
"138","hydrography",5.55555555555556,16.2236291140414,5.28709098496254,3.81556063817877,6.75862133174631,67.4111695490708
"139","definite",1.25470514429109,35.5403684338111,11.6444556313704,9.47373833237489,13.815172930366,67.2359737827238
"140","ensemble",7.52693933317809,40.8862949452935,13.4451965223267,11.196067966178,15.6943250784753,67.1156397508833
"141","nervous",1.18906064209275,7.77840568243446,2.55952380952381,1.9947186485624,3.12432897048522,67.0944932159576
"142","underwent",1.16279069767442,17.8354602309671,5.88679778381958,4.67561897630759,7.09797659133156,66.9938554565667
"143","trajectory",1.01467091209544,158.95595686262,52.7582621503121,45.09123779326,60.4252865073642,66.8095092555045
"144","usable",4.75624256837099,12.5627728505762,4.19235980439275,3.15675477421359,5.2279648345719,66.6287064626784
"145","ibrahim",1.60771704180064,5.2573284826375,1.75779842950796,0.970562410187751,2.54503444882817,66.5647974001787
"146","hydrographic",6.05442853354548,34.9503596741758,11.7359759909774,9.49554652621555,13.9764054557393,66.4210151186257
"147","vertex",2.01207243460765,38.0779299990443,12.8434791424988,0.862363593818015,24.8245946911795,66.2705426927853
